file,region1p1,region1p2,count,r1rank1,r1rank2,SUM
ss__0181_0683039622_745rrs__0070000srlc15090wz08cgnj03.csv,45,45,100,0.45,0.45,0.9
ss__0181_0683039785_555rrs__0070000srlc15090bz08zpzj03.csv,1,1,1,1,1,2
ss__0181_0683040051_910rrs__0070000srlc15080wy08cgnj03.csv,45,44,100,0.45,0.44,0.89
ss__0181_0683040214_690rrs__0070000srlc15080by08zpzj03.csv,1,1,1,1,1,2
ss__0181_0683040480_670rrs__0070000srlc15070wx08cgnj03.csv,96,43,100,0.96,0.43,1.39
ss__0181_0683040643_510rrs__0070000srlc15070bx08zpzj03.csv,1,1,1,1,1,2
ss__0181_0683040910_815rrs__0070000srlc15060ww08cgnj03.csv,100,16,100,1,0.16,1.16
ss__0181_0683041073_530rrs__0070000srlc15060bw08zpzj03.csv,1,0,1,1,0,1
ss__0181_0683041324_625rrs__0070000srlc16000w1__cgnj03.csv,0,0,1,0,0,0
ss__0186_0683476721_690rrs__0070000srlc10500w108cgnj04.csv,2,0,100,0.02,0,0.02
ss__0186_0683477372_040rrs__0070000srlc10500b108zpzj04.csv,3,0,100,0.03,0,0.03
ss__0186_0683477389_240rrs__0070000srlc10500b108zpzj04.csv,0,0,1,0,0,0
ss__0186_0683477446_620rrs__0070000srlc10500w208cgnj04.csv,0,0,100,0,0,0
ss__0186_0683478097_055rrs__0070000srlc10500b208zpzj04.csv,0,0,100,0,0,0
ss__0186_0683478114_025rrs__0070000srlc10500b208zpzj04.csv,0,0,1,0,0,0
ss__0186_0683478599_650rrs__0070000srlc11420w108cgnj10.csv,56,9,1296,0.043209877,0.006944444,0.050154321
ss__0186_0683479379_140rrs__0070000srlc11420b108zpzj13.csv,57,9,1296,0.043981481,0.006944444,0.050925926
ss__0186_0683479622_445rrs__0070000srlc11420b108zpzj04.csv,0,0,2,0,0,0
ss__0186_0683479873_535rrs__0070000srlc16000w1__cgnj04.csv,0,0,1,0,0,0
ss__0207_0685346165_825rrs__0071836srlc10501w108cgnj03.csv,1,1,50,0.02,0.02,0.04
ss__0207_0685346814_725rrs__0071836srlc10501w208cgnj03.csv,2,1,50,0.04,0.02,0.06
ss__0207_0685347508_570rrs__0071836srlc10501w108cgnj03.csv,3,0,50,0.06,0,0.06
ss__0207_0685348158_025rrs__0071836srlc10501w208cgnj03.csv,1,0,50,0.02,0,0.02
